"";"country";"iso3c";"region";"period";"time_var";"Mat_Mort_ratio";"Neonatal_Mort";"Tuberculosis_incid";"Malaria_incid";"hepatitis_B_under5";"Tropical_dis";"Noncomm_diseas";"Suicide_mort";"Alcohol_percap";"Family_planning_cov";"Adolesc_pregn_10to14";"UHC";"CHS_25perc";"Air_polut_Mort";"Tobacco_rate";"Tetanus_vaccine";"Measles_vaccine";"HealthResearch_ODA";"Healthfacil_adeq";"HthWk_Physician_dens";"HthWk_Midwivies_dens";"Women_Anaemia";"Child_less5_stunted";"undernoursh_pop";"Life_expectancy";"Under5_Mort";"Uninten_poison_MortWB";"Unsafe_water_mortWB";"Adol_birth15to19WB";"Road_traff_MortWB";"NewHIV_casesWB";"Birth_SkilledWorkWB";"Soc_Assistance_cov";"Soc_Insur_cov";"Pension_cov";"oda_disb";"SOC_INF_ODA";"hlth_spdng_perGDP";"govt_hth_spnd_1";"govt_hth_spnd_2";"govt_hth_sp_percap3";"Urb_pop_rate";"UrbPop_grth_rate";"GDP_grth_rate";"Pol_stabty_Est";"Resch_dev";"Lab_force";"Pop_0to14";"Pop_65abv";"Pop_tot";"Pop_grwth";"Pop_densty";"Emission_tot_ghg";"Agric_emp";"Unemply_rate";"Tech_export_rate";"Female_educ";"Trade";"FDI";"Inflation";"clean_cook_enrgy";"GDP_per_cap";"Gross_FixCap";"GNI";"CF_LF_ratio";"covid_stringency";"cri_score";"emdat_ndeath";"FFrent";"gov";"oil_prod_Twh";"resource_rent";"vdem_polyarchy";"UN_voting";"pub_invest";"wparl";"GASrent";"COALrent";"undp_hdi";"bci";"ae";"Cov_all_SPL";"GNI_million";"aid_Per_GNI";"Norm_HSCR_index";"Zscore_Reprd_index";"Norm_Reprd_index";"Zscore_InfDis_index";"Norm_InfDis_index";"Zscore_Mental_index";"Norm_Mental_index";"Zscore_Nutrit_index";"Norm_Nutrit_index";"Zscore_EnvDeath_index";"Norm_EnvDeath_index";"Total_debt_Service";"External_debt_stock";"Water_access";"Sanitaion_access";"Zscore_HSCR_index";"SSA_dum";"MENA_dum";"Europe_dum";"LAC_dum";"SCA_dum"
"1";"Afghanistan";"AFG";"SCA";"(2000,2004]";1;1273,2425;59,1;189,25;82,58;5,855425;18624196,7675;41,85;4,975;1,7847811;31,599;7,70945;24,0275;2,665875;228,509;34,692;33,5;22,385;21,09575;15,05323;1,861325;6,2026;35,525;54,725;42,47975;56,2235;123,2;2,225;75,91875;148,7365;14,925;0,1;18,76725;13,116735;3,07593;7,5745;1255,705;494,1764;6,83684854465;15,793591737875;0,92021983755;4,0312179956;22,21525;4,45802914533036;5,95757657013278;-2,0220397096686;0,225766825070605;64,711225;10334118;474123,75;20719250;4,04416507532265;31,7667847231805;14506,6278125;64,738625;6,562725;11,8395288733864;8,87253106229007;65,6719749337422;3,72143444638517;36,7052461280523;8,3;2118,09561256354;19,7360265699227;44352336651,7874;0,361295649308155;0,562530406654687;72,16069975;4689,7005;1,49721241706164;-1,59868308088642;34,10142566375;3,29862853628954;0,18544;0,686432164585137;53,2237004859829;21,3240127548194;1,43838358500374;0,16971802254089;0,37341962278775;62,85205432;18,2423385002368;12,8923101116487;44352,3366517874;0,062863041650329;0,122104914449856;2,80054002059773;0,237987593766317;0,711477871975708;0,00366909225886505;-0,0549436063843037;0,149214474802016;1,70860343925247;0,615342712842713;0,855878181449472;0,263501925598165;5,35550186510692;80,5901763635973;29,1164720546345;22,1487349012646;-1,75014780973829;0;0;0;0;1
"2";"Afghanistan";"AFG";"SCA";"(2018,2022]";6;466,0335;29,23375;169,49175;20,1846;1,72635;13024479,4075;29,0295;5,25075;1,35587925;51,031;1,641075;44,93;4,910725;200,526;22,99475;76,62;52,575;182,6064525;22,1737775;4,29755;8,804075;37,85625;32,131;23,64175;64,7422475;50,3005;1,364;24,57275;77,0926925;18,43225;0,1495;64,1190260258874;25,234565;6,65888;20,2365;3607,392275;1026,724675;13,051185652325;15,80367068895;1,149538175425;18,733999354875;33,8629975;3,55043181207748;-3,75644623604599;-2,04784721389878;0,227699750275351;51,2578;14470396,5525;1028905,005;34341491,26;2,57341480143656;64,2282519850582;47674,6687642425;43,787483775;7,514375;6,33372835420817;14,5686674946547;52,6411590558766;0,636366293281389;24,9138615862023;43,42825;3393,52049697914;19,8172142575025;59681188441,1033;0,371014365959459;20,5362826933153;46,579575;5114,7;0,298844508119142;-1,30966092068932;0;0,545723512721002;0,3623475;0,647899258364375;29,1707535859456;26,0337252399219;0,025668201045047;0,110818550133387;0,536540002675;65,4656492225;95,6962808903373;27,7419609124033;59681,1884411034;0,0609248077360273;0,285486984545882;0,521723668640915;0,0920501331639287;-0,0543027080528417;0,00256590962527801;-0,53156561542005;0,106556440784737;0,671480398859351;0,427267917267917;0,145881192145715;0,200667813831531;0,93039146125534;23,6664174134991;78,0938369940872;53,4757532632951;-0,576403205384739;0;0;0;0;1
"3";"Afghanistan";"AFG";"SCA";"(2007,2011]";3;914,435;48,175;189;15,58;4,03665;14952821,6625;38,175;4,35;0,468959375;35,54;1,77345;29,7075;2,182125;223,87575;31,77675;65,25;26,75;182,3365;16,9214325;2,2675;5,141975;36,65;48,125;22,8;60,6215;89,875;1,75;57,90075;121,52;14,5;0,1;32,53625;12,46335;3,212715;11,51425;6418,685;3145,6925;9,3016405125;5,6548035125;0,527215095;2,568953735;23,63325;3,92424750349317;10,0260771171299;-2,62099850177765;0,230160449570976;58,0896;13653017,25;652443;27812833,75;3,03700851070162;42,6426778130414;26673,7704175;55,4119325;4,60955;32,6721776273629;8,75271490365267;58,5784243553778;0,604451990219959;8,39755659964039;19;1841,96180014188;19,5888875899257;79196698732,3268;0,357893985460358;0;39,139675;467;0,289750957432741;-1,84265191;0;0,324078140379031;0,386;0,723365364773443;25,585;27,6042185270006;0,0280010773932887;0,261749880039452;0,443500005;63,09061875;44,1502564665529;11,168520306172;79196,6987323268;0,106931575304388;0,185921265767453;1,86030686645222;0,174018657519681;0,371179525117525;0,00294580470662281;-0,355220606826633;0,131734015028798;1,00158711997327;0,494348244348244;0,545574022938128;0,244203949524746;0,0724888679438343;22,8574075481287;47,5364290891723;34,6424263917795;-1,24820710864415;0;0;0;0;1
"4";"Afghanistan";"AFG";"SCA";"(2011,2015]";4;813,173333333333;43,1333333333333;189;11,1866666666667;2,62863333333333;13574116;36,1666666666667;3,96666666666667;0,713093866666667;41,3056666666667;1,1387;34,42;2,77496666666667;221,532;29,9516666666667;64,3333333333333;38,3333333333333;226,547;19,1314133333333;2,80666666666667;2,7317;38,0666666666667;42,9333333333333;20,8333333333333;62,295;76,8333333333333;1,4;43,0503333333333;106,425666666667;13,9666666666667;0,1;42,056;12,9009333333333;4,92937333333333;14,3646666666667;5832,25;2825,69333333333;8,74400377333333;4,77897151666667;0,419634346666667;2,70161103;24,3733333333333;4,61176761311922;7,02585837024906;-2,44965966542562;0,241347699124987;50,1936666666667;14786277;758321,666666667;31574632,6666667;3,73399736600047;48,4102734720369;30841,56275;47,53871;5,20033333333333;38,801283105227;9,30654674371084;57,9068683657866;0,241767015301646;6,16699354289438;24,2333333333333;2144,20710232766;19,799103117799;63099652478,2548;0,371523091411791;0;25,9433333333333;369,333333333333;0,272174077544113;-1,59582255333333;0;0,265541163224718;0,378666666666667;0,677659888004715;116,253333333333;27,710843373494;0,0284187360387278;0,243755341505385;0,473;65,1744506666667;75,5469594319661;14,0248927149108;63099,6524782548;0,0941775583606896;0,211555447316931;1,48631035749586;0,154031530379672;0,189142748718902;0,00267419352389238;-0,406940415745527;0,124663164866811;0,857237590187226;0,466730800064134;0,297441224933852;0,229391183218617;0,134604453529858;12,5349456098976;56,8685971349573;40,5678533554711;-1,08587093863902;0;0;0;0;1
"5";"Afghanistan";"AFG";"SCA";"(2015,2018]";5;717,6875;38,65;189;23,2725;1,639525;14165561;35,525;4,05;0,24758185;43,83875;2,196975;38,7725;5,05665;223,228;24,9225;67;42,75;226,1235;19,092085;2,81;2,2875;40,575;38,85;22,675;62,973;66,05;1,025;34,90875;92,5515;14,625;0,1;53,306;15,1467;5,59564;16,49675;4437,1475;1979,275;12,18829347;4,8084267975;0,5795829875;3,10286751;25,142;3,77026008076297;1,88696504793507;-2,69325423240662;0,239224699807819;49,2366;15926770,25;845357;35179977;2,86364768710363;53,937992732625;31703,77471;44,3534375;8,63265;6,34469020408017;8,45075137138367;56,6810983343712;0,571589243587947;2,33107086128314;29,2125;2091,73211071032;19,1283735991889;42642434728,3865;0,362763467443124;0;38,9975;219,75;0,341140626565694;-1,66310739;0;0,306411987249932;0,35925;0,666607669753443;32,4925;27,4800500626881;0,00193303237753927;0,339207594188154;0,481;68,94433725;90,0827194213867;16,4136334084219;42642,4347283865;0,124798078547578;0,23385236043462;1,15089298316557;0,135503254688762;0,100960049268539;0,00279071223421321;-0,64904915288843;0,105183879949604;0,882135867478127;0,468013468013468;0,170222327133711;0,224341814159292;0,323878283579358;13,9756411938335;66,607658574356;46,6116677549962;-0,947144999915207;0;0;0;0;1
"6";"Afghanistan";"AFG";"SCA";"(2004,2007]";2;1071,4;53,85;189;27,985;5,537675;21501484,905;40,725;4,925;0,93387375;31,99875;4,801325;27,665;1,42315;225,78725;33,9715;57,25;8,25;170,70625;12,910165;1,6725;5,07505;35,725;52,775;34,3;58,525;106,425;2,125;69,20425;130,9655;15,125;0,1;23,17175;13,76192;1,7216275;10,22225;3779,5775;1139,626575;10,071050645;5,2986311925;0,5324743325;1,4316684125;22,80575;4,19650681913161;7,95688890086813;-2,24892503023147;0,232208549395437;63,705275;12317155,5;571326,25;24827746,75;3,36063986370832;38,0659380126642;16922,696595;61,375045;4,16135;34,8306507666561;7,30746220625937;56,2731250267271;3,32213179258406;9,91398068040343;13,2;1376,92973265692;20,1612162540246;44285117626,9565;0,351679418376925;0;57,8003;319,5;0,0496827015833041;-1,676551777;0;0,379937612428476;0,345;0,759225741578683;43,095;27,2497606107745;0,0207552201086908;0,0289274814746133;0,40625;62,40055075;31,1170687675476;12,8883060087982;44285,1176269565;0,116481795423999;0,135293449481704;2,28840692307384;0,202063141437724;0,596473029043742;0,00423591659290358;-0,19192862717891;0,143377875269978;1,42653869438422;0,567580567580568;0,761024809279963;0,255851769911505;5,4734762945213;90,9139662886725;37,5191126613143;28,0460571304144;-1,60106320772778;0;0;0;0;1
"7";"Angola";"AGO";"SSA";"(2000,2004]";1;773,5825;48,675;314,75;318,8;5,718425;16811009,115;28,325;8,675;5,437239275;26,976;9,606725;22,8075;3,669325;199,62725;16,985;41,5;31,31;34,339;17,4556425;1,5015;8,3671;51,375;42,15;60,45925;47,40425;195,025;3,6;64,88875;175,18175;25,25;1,275;44,02725;10,1624875;7,75141;10,92575;574,05;271,318625;3,317387525;46,115719795;1,4828814275;11,64820359;51,86675;5,63625308016034;5,97907788783979;-1,47887903330848;0,282470724827145;62,13975;7973446;428896;17244032,5;3,31944788014143;13,8317417983477;60751,53515;37,26927;11,8411;34,8368829710296;15,1180866405368;128,021431501885;16,2800369655266;171,169868454345;40,875;4988,89859218169;29,6609936668204;37339224813,6457;0,394238477676322;0,33945173927689;88,616139;2841,61555;2,3026111622543;-1,35842583722874;430,50084274025;1,78884962091126;0,17662775;0,731423733069765;35,5873934097033;15,0764948961582;0,311875931167588;0,0296958490917245;0,4079039253675;66,8669555;25,7818436367995;18,0899535426073;37339,2248136457;0,0159922622938218;0,180044326839016;2,70010353738264;0,176762998535895;0,840178680531059;0,00331195700403954;-0,0982730749404977;0,111941106101512;2,37351972612263;0,71757696007696;1,18500535537544;0,240385119632907;18,3351218955388;93,3863842747114;42,7849147347666;29,706319173525;-1,36803629906893;1;0;0;0;0
"8";"Angola";"AGO";"SSA";"(2007,2011]";3;384,8025;37,2;383,5;190,0375;4,765425;16885865,43;24,6;6,95;7,0371355;33,54225;8,713875;30,655;3,9805;177,6855;14,50125;50,5;31,57;58,25625;23,7348525;1,864775;11,579425;47,35;30,875;29,075;56,17675;124,55;3,025;56,669;165,63425;25,875;1,875;51,47665;16,010225;6,1162725;15,172;262,9475;150,7625;3,1265546675;64,725515365;2,03155172;76,8768189025;59,40675;4,98709154646405;4,97510727144983;-0,326199844479561;0,231267399986973;74,699825;10500122;596849,5;22955623;3,71449643054838;18,4131090077805;77005,4764175;47,6208725;9,872425;17,1375265658028;14,7607875043154;111,979247321928;-0,42003962081152;13,5395593691473;44,45;7716,35887255313;31,6603416651584;60767184017,8962;0,409729411725373;0;68,752725;175,75;2,4046114582681;-1,0278266995;1015,5538875;0,399561407420134;0,25925;0,727370175776184;0,1375;38,1818181818182;0,0630948567754339;0;0,5055000025;65,8409995;35,4792575454712;18,6423546857535;60767,1840178962;0,00440514389468977;0,213220560134882;1,59765857550435;0,105360030245472;0,589881213517077;0,00332669132336357;-0,0551252875981146;0,102549983801296;1,06544689392893;0,493025493025493;0,925673363942297;0,215711651917404;4,07207397100366;30,94629725288;49,9743110721833;40,4273097251018;-1,09140189960985;1;0;0;0;0
"9";"Angola";"AGO";"SSA";"(2011,2015]";4;295,733333333333;32,8333333333333;375,333333333333;160,566666666667;4,65123333333333;17079380,6666667;23,6666666666667;6,73333333333333;5,9762589;35,7006666666667;10,3618666666667;33,7766666666667;3,52076666666667;171,792333333333;16,7046666666667;54;31,3533333333333;67,1983333333333;24,27225;2,1786;10,6201;45,6;32,9;14,3666666666667;59,3233333333333;98,7;2,6;50,9576666666667;153,665;22,9333333333333;1,9;53,6214;16,6788933333333;5,56966;15,469;265,166666666667;111,033333333333;2,52090176;60,4792035433333;1,52555426333333;79,6368378333333;62,0003333333333;4,91787398928419;6,10642645886345;-0,371262689431509;0,202203566725366;59,598;11967328,3333333;672532;26154543,6666667;3,72621897245061;20,979019544932;81505,2020033333;55,4790866666667;10,4908666666667;12,6123463999211;13,4923603844643;85,9816509611979;-1,28134546906898;8,77870217294047;46,2;8097,9645000467;26,7727157279734;75632108075,3426;0,346205145089212;0;87,89;48,26;2,36313724456062;-1,00444392133333;983,817313333333;0,333260490344902;0,308;0,687366890850497;1084,63;35;0,0615293337486408;0;0,552000006666667;65,016176;35,8858896891276;19,3089561745372;75632,1080753426;0,00351981292458628;0,219864722534449;1,19003813342775;0,0858463062979486;0,516965463448185;0,00336480685851465;-0,117236801069751;0,105882861411087;0,633751703375399;0,423601090267757;0,673991058515691;0,203444225936851;5,45229780310303;34,0514574856157;52,7557984901449;44,854431557791;-1,03411521832656;1;0;0;0;0
"10";"Angola";"AGO";"SSA";"(2015,2018]";5;257,33;29,6;360,5;197,3325;4,224125;15728483;22,4;6,175;6,306240175;37,1015;7,17395;37,74;6,7104;163,8565;13,8815;59,25;29,25;56,63925;24,87622;2,149725;7,3529;44,775;37,925;15,25;61,39275;82,95;2,175;45,331;145,50475;24,95;1,8;54,74765;13,19545;5,4294425;14,50375;270,355;119,095;2,6753944175;45,105997085;1,20715958;45,1311876525;64,487;4,64003558243354;-0,775012793743989;-0,390962906181812;0,160428149653599;66,79655;13557907,5;757271,5;29691157;3,55483303606568;23,8157993101789;83067,9408125;58,655965;11,441075;17,5469624046786;14,3977951463312;58,7233786615197;-1,97162107182587;22,3814924342415;48,05;7387,36551279799;23,7149577238053;79793103137,9457;0,306851290201819;0;65,2925;148,25;0,360227829683144;-0,918811603;958,373285;0,709270368404875;0,3245;0,65879004967988;1816,395;33,6363636363636;0,360227829683144;0;0,5925000175;63,51579225;42,9953191375732;21,589403313893;79793,1031379457;0,00336092321873271;0,221839009616586;0,939109492706328;0,0761014308617997;0,476575574083713;0,00309867945025254;-0,201931322361213;0,0948982727681786;0,758737378156878;0,448051948051948;0,568424374756667;0,193635283513602;15,3129150625024;89,3301064407218;55,4589653539999;49,2500377253176;-1,00064421794467;1;0;0;0;0
